budget,revenue,content_score,user_score,genres,director,release_year,release_month,release_day,release_weekday,run_time (in minuts),title,url
nan,nan,71,70,Horror,Joseph Romano Thomas,2010,4,20,1,92,Cannibal Lolita,https://www.themoviedb.org//movie/279547-cannibal-lolita
30000000.0,13001257.0,100,69,"Drama,Mystery,Romance,Thriller",Paul McGuigan,2004,9,3,4,114,Wicker Park,https://www.themoviedb.org//movie/11208-wicker-park
1880006.0,26713187.0,100,68,"Comedy,Romance",Garry Marshall,1987,12,16,2,106,Overboard,https://www.themoviedb.org//movie/10780-overboard
30000000.0,64352607.0,100,64,"Adventure,Fantasy,Mystery",Terry Gilliam,2009,12,24,3,123,The Imaginarium of Doctor Parnassus,https://www.themoviedb.org//movie/8054-the-imaginarium-of-doctor-parnassus
5000000.0,26010864.0,100,81,"Drama,History",David Lynch,1980,10,3,4,124,The Elephant Man,https://www.themoviedb.org//movie/1955-the-elephant-man
10000000.0,29820616.0,100,71,"Comedy,Drama",James Franco,2017,12,8,4,104,The Disaster Artist,https://www.themoviedb.org//movie/371638-the-disaster-artist
320000.0,nan,100,77,"Crime,Drama,Thriller",Stanley Kubrick,1956,6,6,2,85,The Killing,https://www.themoviedb.org//movie/247-the-killing
5000000.0,44793222.0,100,66,"Horror,Thriller",Wes Craven,1987,2,27,4,96,A Nightmare on Elm Street 3: Dream Warriors,https://www.themoviedb.org//movie/10072-a-nightmare-on-elm-street-3-dream-warriors
50000000.0,25035950.0,100,67,"Action,Drama,History,War",Gary Ross,2016,7,1,4,140,Free State of Jones,https://www.themoviedb.org//movie/316152-free-state-of-jones
nan,nan,100,61,"Horror,Mystery,History,Thriller,Drama",Gareth Evans,2018,10,12,4,130,Apostle,https://www.themoviedb.org//movie/424121-apostle
nan,nan,100,60,"Horror,Thriller",Johnny Martin,2020,10,16,4,92,Alone,https://www.themoviedb.org//movie/661950-alone
nan,nan,21,0,Documentary,Hubert Caron-Guay,2021,11,14,6,99,Resources,https://www.themoviedb.org//movie/891443-resources
nan,9196740.0,100,58,"Thriller,Drama,Crime",José Padilha,2018,3,16,4,107,7 Days in Entebbe,https://www.themoviedb.org//movie/433627-7-days-in-entebbe
nan,86432000.0,100,63,Horror,Stuart Rosenberg,1979,7,27,4,117,The Amityville Horror,https://www.themoviedb.org//movie/11449-the-amityville-horror
nan,nan,100,77,"Adventure,Horror",Sylas Dall,2020,3,14,5,88,They Reach,https://www.themoviedb.org//movie/711705-they-reach
nan,nan,100,62,"Horror,Comedy,Fantasy",John McPhail,2018,11,30,4,98,Anna and the Apocalypse,https://www.themoviedb.org//movie/461928-anna-and-the-apocalypse
nan,6748712.0,100,75,"Comedy,Fantasy,Animation,Drama,Family",Hiroyuki Okiura,2013,2,10,6,120,A Letter to Momo,https://www.themoviedb.org//movie/100271-a-letter-to-momo
15000000.0,37930465.0,100,60,"Crime,Thriller",Andrew Dominik,2012,11,30,4,97,Killing Them Softly,https://www.themoviedb.org//movie/64689-killing-them-softly
10000000.0,21630088.0,100,60,"Comedy,Family,Science Fiction,Drama",Kenneth Johnson,1988,7,6,2,110,Short Circuit 2,https://www.themoviedb.org//movie/11966-short-circuit-2
nan,18612.0,100,65,"Romance,Comedy",Max Nichols,2014,9,26,4,86,Two Night Stand,https://www.themoviedb.org//movie/286554-two-night-stand
nan,nan,93,59,"Horror,Thriller",John McNaughton,2013,10,19,5,104,The Harvest,https://www.themoviedb.org//movie/229182-the-harvest
12000000.0,41205099.0,100,66,Comedy,Dennis Dugan,1996,2,16,4,92,Happy Gilmore,https://www.themoviedb.org//movie/9614-happy-gilmore
nan,nan,21,0,Documentary,Ketevan Kapanadze,2021,11,17,2,74,How the Room Felt,https://www.themoviedb.org//movie/892951-how-the-room-felt
2500000.0,nan,100,53,"Horror,Action,Science Fiction,Thriller",Griff Furst,2010,8,21,5,93,Lake Placid 3,https://www.themoviedb.org//movie/44037-lake-placid-3
37000000.0,37962774.0,100,54,"Comedy,Fantasy,Science Fiction",Willard Huyck,1986,8,1,4,110,Howard the Duck,https://www.themoviedb.org//movie/10658-howard-the-duck
4000000.0,2514679.0,100,64,"Thriller,Mystery",Donato Carrisi,2019,10,30,2,130,Into the Labyrinth,https://www.themoviedb.org//movie/602545-into-the-labyrinth
30000000.0,51132598.0,100,65,"Comedy,Crime",Peter Segal,1994,3,18,4,83,Naked Gun 33⅓: The Final Insult,https://www.themoviedb.org//movie/36593-naked-gun-33⅓-the-final-insult
nan,nan,100,39,Comedy,Scott Wheeler,2012,2,2,3,90,Celebrity Sex Tape,https://www.themoviedb.org//movie/87584-celebrity-sex-tape
800000.0,1591000.0,100,79,Drama,John Steinbeck,1940,3,15,4,129,The Grapes of Wrath,https://www.themoviedb.org//movie/596-the-grapes-of-wrath
nan,11868221.0,100,67,"Drama,History",Gurinder Chadha,2017,8,18,4,106,Viceroy's House,https://www.themoviedb.org//movie/429662-viceroy's-house
15000000.0,13004198.0,100,72,Drama,Susanne Bier,2011,4,1,4,118,In a Better World,https://www.themoviedb.org//movie/44716-in-a-better-world
50000000.0,152022101.0,100,55,"Action,Adventure,Science Fiction",Michael Crichton,1995,6,9,4,109,Congo,https://www.themoviedb.org//movie/10329-congo
94000000.0,54744738.0,100,51,Action,Renny Harlin,2001,4,27,4,116,Driven,https://www.themoviedb.org//movie/10477-driven
nan,nan,100,68,Drama,Ann Marie Pace,2021,5,28,4,19,Growing Fangs,https://www.themoviedb.org//movie/818356-growing-fangs
nan,nan,100,48,Comedy,Oliver Parker,2016,2,5,4,100,Dad's Army,https://www.themoviedb.org//movie/332721-dad's-army
28000000.0,60780981.0,100,62,Comedy,Ben Stiller,2001,9,28,4,90,Zoolander,https://www.themoviedb.org//movie/9398-zoolander
80000000.0,60655420.0,100,70,"Animation,Family,Music",Eric Goldberg,1999,12,17,4,74,Fantasia 2000,https://www.themoviedb.org//movie/49948-fantasia-2000
20000000.0,89325780.0,100,64,"Comedy,Romance",Charles Shyer,1991,12,20,4,105,Father of the Bride,https://www.themoviedb.org//movie/11846-father-of-the-bride
15000000.0,52970014.0,100,59,"Family,Comedy,Adventure",Shawn Levy,2002,2,8,4,88,Big Fat Liar,https://www.themoviedb.org//movie/11870-big-fat-liar
1800000.0,nan,100,68,"Western,Horror",S. Craig Zahler,2015,12,10,3,132,Bone Tomahawk,https://www.themoviedb.org//movie/294963-bone-tomahawk
15000000.0,nan,100,46,"Horror,Drama,Thriller",D. J. Caruso,2017,12,29,4,92,The Disappointments Room,https://www.themoviedb.org//movie/293452-the-disappointments-room
927262.0,2500000.0,100,82,"Crime,Drama,Mystery,Thriller",Billy Wilder,1944,7,6,3,107,Double Indemnity,https://www.themoviedb.org//movie/996-double-indemnity
250000.0,nan,100,71,"Mystery,Drama,Horror,Thriller",Takashi Miike,2001,8,8,2,115,Audition,https://www.themoviedb.org//movie/11075-audition
nan,83073883.0,100,61,"Comedy,Drama,Romance",Curtis Hanson,2005,10,7,4,130,In Her Shoes,https://www.themoviedb.org//movie/11931-in-her-shoes
21000000.0,49050886.0,100,58,Comedy,Neil LaBute,2010,4,15,3,92,Death at a Funeral,https://www.themoviedb.org//movie/34803-death-at-a-funeral
nan,nan,100,63,"Horror,Fantasy,Romance",Svyatoslav Podgaevsky,2018,7,12,3,90,The Mermaid: Lake of the Dead,https://www.themoviedb.org//movie/516850-the-mermaid-lake-of-the-dead
3500000.0,325680.0,100,68,Horror,Takashi Shimizu,2003,1,25,5,92,Ju-on: The Grudge,https://www.themoviedb.org//movie/11838-ju-on-the-grudge
nan,nan,71,nan,"Animation,Family,Comedy,Fantasy",Domee Shi,2022,3,11,4,nan,Turning Red,https://www.themoviedb.org//movie/508947-turning-red
30000000.0,251495.0,100,53,"Horror,Thriller",Paul Schrader,2005,5,20,4,117,Dominion: Prequel to the Exorcist,https://www.themoviedb.org//movie/12700-dominion-prequel-to-the-exorcist
12000000.0,79567667.0,100,71,Action,John Badham,1983,6,3,4,114,WarGames,https://www.themoviedb.org//movie/860-wargames
nan,589895.0,100,67,"Drama,Romance",Mia Hansen-Løve,2021,10,15,4,113,Bergman Island,https://www.themoviedb.org//movie/477044-bergman-island
7000000.0,2360281.0,100,63,Drama,Daniel Barnz,2014,12,31,2,102,Cake,https://www.themoviedb.org//movie/284276-cake
nan,nan,100,72,Family,Boaz Yakin,2017,5,12,4,85,Max 2: White House Hero,https://www.themoviedb.org//movie/446829-max-2-white-house-hero
15000000.0,146292000.0,100,78,Drama,Steven Spielberg,1986,12,14,6,154,The Color Purple,https://www.themoviedb.org//movie/873-the-color-purple
nan,nan,50,0,Documentary,María Álvarez,2021,11,17,2,81,Near and Dear,https://www.themoviedb.org//movie/812493-near-and-dear
nan,nan,43,70,Documentary,Antoine Coursat,2021,11,19,4,nan,"Jackie Chan : humour, gloire et kung-fu","https://www.themoviedb.org//movie/888140-jackie-chan--humour,-gloire-et-kung-fu"
nan,nan,71,65,,Jan Kroesen,1996,8,25,6,79,Desire: An Erotic Fantasyplay,https://www.themoviedb.org//movie/668289-desire-an-erotic-fantasyplay
